,image_path,height,width,case,day,slice
0,./data/train/case148/case148_day20/scans/slice_0010_360_310_1.50_1.50.png,310,360,148,20,10
1,./data/train/case148/case148_day20/scans/slice_0122_360_310_1.50_1.50.png,310,360,148,20,122
2,./data/train/case148/case148_day20/scans/slice_0044_360_310_1.50_1.50.png,310,360,148,20,44
3,./data/train/case148/case148_day20/scans/slice_0067_360_310_1.50_1.50.png,310,360,148,20,67
4,./data/train/case148/case148_day20/scans/slice_0063_360_310_1.50_1.50.png,310,360,148,20,63
5,./data/train/case148/case148_day20/scans/slice_0021_360_310_1.50_1.50.png,310,360,148,20,21
6,./data/train/case148/case148_day20/scans/slice_0135_360_310_1.50_1.50.png,310,360,148,20,135
7,./data/train/case148/case148_day20/scans/slice_0041_360_310_1.50_1.50.png,310,360,148,20,41
8,./data/train/case148/case148_day20/scans/slice_0134_360_310_1.50_1.50.png,310,360,148,20,134
9,./data/train/case148/case148_day20/scans/slice_0114_360_310_1.50_1.50.png,310,360,148,20,114
10,./data/train/case148/case148_day20/scans/slice_0088_360_310_1.50_1.50.png,310,360,148,20,88
11,./data/train/case148/case148_day20/scans/slice_0039_360_310_1.50_1.50.png,310,360,148,20,39
12,./data/train/case148/case148_day20/scans/slice_0099_360_310_1.50_1.50.png,310,360,148,20,99
13,./data/train/case148/case148_day20/scans/slice_0091_360_310_1.50_1.50.png,310,360,148,20,91
14,./data/train/case148/case148_day20/scans/slice_0024_360_310_1.50_1.50.png,310,360,148,20,24
15,./data/train/case148/case148_day20/scans/slice_0092_360_310_1.50_1.50.png,310,360,148,20,92
16,./data/train/case148/case148_day20/scans/slice_0052_360_310_1.50_1.50.png,310,360,148,20,52
17,./data/train/case148/case148_day20/scans/slice_0006_360_310_1.50_1.50.png,310,360,148,20,6
18,./data/train/case148/case148_day20/scans/slice_0142_360_310_1.50_1.50.png,310,360,148,20,142
19,./data/train/case148/case148_day20/scans/slice_0137_360_310_1.50_1.50.png,310,360,148,20,137
20,./data/train/case148/case148_day20/scans/slice_0097_360_310_1.50_1.50.png,310,360,148,20,97
21,./data/train/case148/case148_day20/scans/slice_0040_360_310_1.50_1.50.png,310,360,148,20,40
22,./data/train/case148/case148_day20/scans/slice_0080_360_310_1.50_1.50.png,310,360,148,20,80
23,./data/train/case148/case148_day20/scans/slice_0031_360_310_1.50_1.50.png,310,360,148,20,31
24,./data/train/case148/case148_day20/scans/slice_0100_360_310_1.50_1.50.png,310,360,148,20,100
25,./data/train/case148/case148_day20/scans/slice_0098_360_310_1.50_1.50.png,310,360,148,20,98
26,./data/train/case148/case148_day20/scans/slice_0102_360_310_1.50_1.50.png,310,360,148,20,102
27,./data/train/case148/case148_day20/scans/slice_0125_360_310_1.50_1.50.png,310,360,148,20,125
28,./data/train/case148/case148_day20/scans/slice_0051_360_310_1.50_1.50.png,310,360,148,20,51
29,./data/train/case148/case148_day20/scans/slice_0058_360_310_1.50_1.50.png,310,360,148,20,58
30,./data/train/case148/case148_day20/scans/slice_0005_360_310_1.50_1.50.png,310,360,148,20,5
31,./data/train/case148/case148_day20/scans/slice_0025_360_310_1.50_1.50.png,310,360,148,20,25
32,./data/train/case148/case148_day20/scans/slice_0120_360_310_1.50_1.50.png,310,360,148,20,120
33,./data/train/case148/case148_day20/scans/slice_0138_360_310_1.50_1.50.png,310,360,148,20,138
34,./data/train/case148/case148_day20/scans/slice_0018_360_310_1.50_1.50.png,310,360,148,20,18
35,./data/train/case148/case148_day20/scans/slice_0089_360_310_1.50_1.50.png,310,360,148,20,89
36,./data/train/case148/case148_day20/scans/slice_0086_360_310_1.50_1.50.png,310,360,148,20,86
37,./data/train/case148/case148_day20/scans/slice_0115_360_310_1.50_1.50.png,310,360,148,20,115
38,./data/train/case148/case148_day20/scans/slice_0094_360_310_1.50_1.50.png,310,360,148,20,94
39,./data/train/case148/case148_day20/scans/slice_0071_360_310_1.50_1.50.png,310,360,148,20,71
40,./data/train/case148/case148_day20/scans/slice_0076_360_310_1.50_1.50.png,310,360,148,20,76
41,./data/train/case148/case148_day20/scans/slice_0020_360_310_1.50_1.50.png,310,360,148,20,20
42,./data/train/case148/case148_day20/scans/slice_0043_360_310_1.50_1.50.png,310,360,148,20,43
43,./data/train/case148/case148_day20/scans/slice_0011_360_310_1.50_1.50.png,310,360,148,20,11
44,./data/train/case148/case148_day20/scans/slice_0042_360_310_1.50_1.50.png,310,360,148,20,42
45,./data/train/case148/case148_day20/scans/slice_0083_360_310_1.50_1.50.png,310,360,148,20,83
46,./data/train/case148/case148_day20/scans/slice_0087_360_310_1.50_1.50.png,310,360,148,20,87
47,./data/train/case148/case148_day20/scans/slice_0059_360_310_1.50_1.50.png,310,360,148,20,59
48,./data/train/case148/case148_day20/scans/slice_0003_360_310_1.50_1.50.png,310,360,148,20,3
49,./data/train/case148/case148_day20/scans/slice_0054_360_310_1.50_1.50.png,310,360,148,20,54
50,./data/train/case148/case148_day20/scans/slice_0078_360_310_1.50_1.50.png,310,360,148,20,78
51,./data/train/case148/case148_day20/scans/slice_0012_360_310_1.50_1.50.png,310,360,148,20,12
52,./data/train/case148/case148_day20/scans/slice_0047_360_310_1.50_1.50.png,310,360,148,20,47
53,./data/train/case148/case148_day20/scans/slice_0081_360_310_1.50_1.50.png,310,360,148,20,81
54,./data/train/case148/case148_day20/scans/slice_0136_360_310_1.50_1.50.png,310,360,148,20,136
55,./data/train/case148/case148_day20/scans/slice_0070_360_310_1.50_1.50.png,310,360,148,20,70
56,./data/train/case148/case148_day20/scans/slice_0023_360_310_1.50_1.50.png,310,360,148,20,23
57,./data/train/case148/case148_day20/scans/slice_0017_360_310_1.50_1.50.png,310,360,148,20,17
58,./data/train/case148/case148_day20/scans/slice_0007_360_310_1.50_1.50.png,310,360,148,20,7
59,./data/train/case148/case148_day20/scans/slice_0053_360_310_1.50_1.50.png,310,360,148,20,53
60,./data/train/case148/case148_day20/scans/slice_0128_360_310_1.50_1.50.png,310,360,148,20,128
61,./data/train/case148/case148_day20/scans/slice_0113_360_310_1.50_1.50.png,310,360,148,20,113
62,./data/train/case148/case148_day20/scans/slice_0140_360_310_1.50_1.50.png,310,360,148,20,140
63,./data/train/case148/case148_day20/scans/slice_0066_360_310_1.50_1.50.png,310,360,148,20,66
64,./data/train/case148/case148_day20/scans/slice_0143_360_310_1.50_1.50.png,310,360,148,20,143
65,./data/train/case148/case148_day20/scans/slice_0118_360_310_1.50_1.50.png,310,360,148,20,118
66,./data/train/case148/case148_day20/scans/slice_0019_360_310_1.50_1.50.png,310,360,148,20,19
67,./data/train/case148/case148_day20/scans/slice_0037_360_310_1.50_1.50.png,310,360,148,20,37
68,./data/train/case148/case148_day20/scans/slice_0016_360_310_1.50_1.50.png,310,360,148,20,16
69,./data/train/case148/case148_day20/scans/slice_0004_360_310_1.50_1.50.png,310,360,148,20,4
70,./data/train/case148/case148_day20/scans/slice_0013_360_310_1.50_1.50.png,310,360,148,20,13
71,./data/train/case148/case148_day20/scans/slice_0060_360_310_1.50_1.50.png,310,360,148,20,60
72,./data/train/case148/case148_day20/scans/slice_0015_360_310_1.50_1.50.png,310,360,148,20,15
